UPC,RAM,Processor,OS,SSD
69119035953,8,Intel UHD,Windows 10,1TB
61730890850,16,Intel Pentium,Windows 10,700GB
66795884297,8,Intel i5,Windows 10,1TB
30304924755,8,Intel i7,Windows 10,650GB
10450047505,24,Intel i3,Windows 10,1TB
64912473187,8,Intel i3,Windows 10,500GB
94071992049,8,Intel i5,Windows 10,1TB
45588467020,24,Intel i5,Windows 10,450GB
77927233093,16,Intel i5,Windows 10,1TB
59569363714,8,AMD Ryzen 3,Windows 10,320GB
94013093137,8,Intel UHD,Windows 10,1TB
1737154980,8,Intel Pentium,Windows 10,700GB
76728875522,16,Intel i5,Windows 10,1TB
39656082836,8,Intel i7,Windows 10,650GB
62376447615,8,Intel i3,Windows 10,1TB
67514992730,24,Intel i3,Windows 10,500GB
81021639951,8,Intel i5,Windows 10,1TB
15036626010,8,Intel i5,Windows 10,450GB
16187511957,24,Intel i5,Windows 10,1TB
33721818552,16,AMD Ryzen 3,Windows 10,320GB
37339885623,8,Intel UHD,Windows 10,1TB
19017075795,8,Intel Pentium,Windows 10,700GB
21882472674,16,Intel i5,Windows 10,1TB
92615845515,8,Intel i7,Windows 10,650GB
73338270934,8,Intel i3,Windows 10,1TB
96945996009,24,Intel i3,Windows 10,500GB
31095366347,8,Intel i5,Windows 10,1TB
41841378961,8,Intel i5,Windows 10,450GB
63680369563,24,Intel i5,Windows 10,1TB
54353001668,16,AMD Ryzen 3,Windows 10,320GB
46401911130,8,Intel UHD,Windows 10,1TB
15449990988,8,Intel Pentium,Windows 10,700GB
83082853247,16,Intel i5,Windows 10,1TB
31544858871,8,Intel i7,Windows 10,650GB
18127120230,8,Intel i3,Windows 10,1TB
6611909095,24,Intel i3,Windows 10,500GB
32025956655,8,Intel i5,Windows 10,1TB
63638213451,8,Intel i5,Windows 10,450GB
19523736247,24,Intel i5,Windows 10,1TB
94471320243,16,AMD Ryzen 3,Windows 10,320GB
76057130318,8,Intel i7,Windows 9 ,1TB
51211960709,16,Intel i3,Windows 9 ,700GB
92965774608,8,Intel i3,Windows 9 ,1TB
49823034579,8,Intel i5,Windows 9 ,650GB
64397978774,24,Intel i5,Windows 9 ,1TB
59790266895,8,Intel i5,Windows 8,500GB
27149507331,8,AMD Ryzen 3,Windows 8,1TB
17022516737,24,Intel UHD,Windows 8,450GB
31551617985,16,Intel Pentium,Windows 8,1TB
15443948611,8,Intel i5,Windows 8,320GB
80104263122,16,Intel i7,Windows 10,1TB
35106800341,8,Intel i3,Windows 10,700GB
77600066398,8,Intel i3,Windows 10,1TB
20085459781,24,Intel i5,Windows 10,650GB
24956344978,8,Intel i5,Windows 10,1TB
54023752466,8,Intel i5,Windows 10,500GB
38422532855,24,AMD Ryzen 3,Windows 9 ,1TB
83447567848,16,Intel UHD,Windows 9 ,450GB
95463301579,8,Intel Pentium,Windows 9 ,1TB
39058086000,16,Intel i5,Windows 9 ,320GB
46565563751,8,Intel i7,Windows 9 ,1TB
8371138626,8,Intel i3,Windows 8,700GB
21970034711,24,Intel i3,Windows 8,1TB
40208134762,8,Intel i5,Windows 8,650GB
44400401738,8,Intel i5,Windows 8,1TB
46764374794,24,Intel i5,Windows 8,500GB
62404367431,16,AMD Ryzen 3,Windows 10,1TB
75516242744,8,Intel i7,Windows 10,450GB
65780509265,8,Intel i3,Windows 10,1TB
36487396190,8,Intel i3,Windows 10,320GB
29116329259,16,Intel i5,Windows 10,1TB
72934006710,8,Intel i5,Windows 10,700GB
55787825988,8,Intel i5,Windows 9 ,1TB
10238381386,24,AMD Ryzen 3,Windows 9 ,650GB
97768680327,8,Intel UHD,Windows 9 ,1TB
18990313037,8,Intel Pentium,Windows 9 ,500GB
43510447166,24,Intel i5,Windows 9 ,1TB
81076177704,16,Intel i7,Windows 8,450GB
56277351055,8,Intel i3,Windows 8,1TB
38109806997,8,Intel i3,Windows 8,320GB
10073764331,16,Intel i5,Windows 8,1TB
65194059292,8,Intel i5,Windows 8,700GB
40530755983,8,Intel i5,mac OSX,1TB
32731490508,24,AMD Ryzen 3,mac OSX,650GB
66496365641,8,Intel UHD,mac OSX,1TB
68016298945,8,Intel Pentium,mac OSX,500GB
3656242865,24,Intel i5,mac OSX,1TB
81569381372,16,Intel i7,mac OSX,450GB
66255606782,8,Intel i3,mac OSX,1TB
4283645776,8,Intel i3,mac OSX,320GB
35629027433,16,Intel i5,mac OSX,1TB
30711447474,8,Intel i5,mac OSX,700GB
55887570095,8,Intel i5,mac OSX,1TB
62007387772,24,AMD Ryzen 3,mac OSX,650GB
60867372895,8,Intel i7,mac OSX,1TB
92796921721,8,Intel i3,Windows 10,500GB
55899067735,24,Intel i3,Windows 9 ,1TB
84865617457,16,Intel i5,Windows 9 ,450GB
22235254929,8,Intel i5,Windows 9 ,1TB
90797696349,16,Intel i5,Windows 8,320GB
