UPC,Name,Brand_ID,Details,Store_ID,Sub_Dept_ID,Price,MSRP,Quantity
51397497810,HP LaserJet Pro M281fdw All in One Wireless Color Laser Printer,0,"The HP LaserJet Pro M281fdw All in One Wireless Color Laser printer delivers ultra fast two-sided printing – including the fastest in-class First Page Out Time (FPOT). Extraordinary color, print speed performance and secure printing connectivity meet the",71,3,429.99,429.99,5
88918299357,"Glad Tall Kitchen Drawstring Trash Bags 13 Gallon, 100 Bags/Box, White",1,Sturdy garbage bags with 3-ply drawstring closure,71,7,15.99,15.99,200
12890622851,"Lysol Professional Cleaner Disinfectant, Clean, 19 Oz",2,Spray cleaner removes dirt from a variety of surfaces: toilet and waiting rooms,71,7,6.99,6.99,200
17281706684,"Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 27 Rolls/Carton",3,Contains 1000 1-ply sheets per roll for long-lasting use,71,7,20.59,25,50
47362204194,Brita Replacement Filters,4,Replacement filters reduce many of the undesired extras that come out of your tap,71,6,26.09,26.09,40
93255571190,HP OfficeJet Pro 8720 All-in-One InkJet Printer,0,"Maximize space with HP Print Forward Design and print professional-quality, low-cost color",797,3,179.99,299.99,5
87911364417,Epson® WorkForce® EcoTank ET-4550 Wireless Multifunction Color Inkjet Printer ,6,Comes with up to 2 years of ink in the box,797,3,562.99,562.99,30
11441780584,"Avery Easy Peel White Address Labels, Sure Feed Technology, Laser, Permanent, 1"" x 2-5/8"", 3,000 Labels",7,Address labels with Sure Feed technology are designed for a reliable feed through your printer helping prevent misalignments and jams,797,10,33.49,33.49,25
32249828298,"BIC Round Stic Xtra Life Ballpoint Pens, Medium Point, Blue Ink, 60/Pack",8,Medium 1.0 mm ballpoint tip to let you fill out forms or take notes with ease,797,10,4.99,6.49,100
58240667914,Brother MFC-L2710DW Compact Monochrome Laser All-in-One Printer,9,"4-in-1 Laser All-in-One Print, Copy, Scan and Fax",797,3,199.99,199.99,10
21098600367,"Logitech K350 Wireless Keyboard, Black (920-001996)",10,Logitech keyboard is suitable for everyday home or office computing,797,2,59.99,59.99,6
71935875390,"HP 17-by0061st 4AG14UA#ABA 17.3"" Notebook Laptop, Intel i3",0,"Access the internet, watch movies, and complete projects with this HP 17.3-inch laptop computer.",797,10,399.99,399.99,3
24063853433,"Dell Inspiron 14 5482 14"" Laptop Computer, Intel® Core™ i5-8265U, 256GB SSD, 8GB Memory, Intel UHD Graphics 620, Touch, 2-1",11,"Versatile by design 14"" 2-in-1 features plenty of versatility with four flexible modes and Dell Cinema in a sleek, sharp design.",797,10,529.99,799.99,2
25259296749,"HP 14-ck0061st 4AG12UA#ABA 14"" Notebook Laptop, Intel Pentium",0,Get access to frequently used documents and programs wherever you are with this HP 14-inch laptop.,797,10,669.99,669.99,2
27925871640,"HP Pavilion 14-ce0064st 4AL53UA#ABA 14"" Notebook Laptop, Intel i5",0,Get important jobs taken care of no matter where you happen to be with this HP Pavilion 14-inch laptop computer.,797,10,528.99,599.99,1
70205921167,"HP Pavilion 15-cs0061st 4AL55UA#ABA 15.6"" Notebook Laptop, Intel i7",0,Collaborate effectively when working on a wide range of tasks with this HP Pavilion 15.6-inch laptop computer.,797,10,531.99,599.99,0
98294179450,"HP 17-by0061st 4AG14UA#ABA 17.3"" Notebook Laptop, Intel i3",0,"Access the internet, watch movies, and complete projects with this HP 17.3-inch laptop computer.",797,10,303.99,349.99,2
54567859431,"HP 14-ck0065st 4AG13UA#ABA 14"" Notebook Laptop, Intel i3",0,Get projects done wherever you happen to be with this HP 14-inch laptop.,797,10,751.99,799.99,3
22767861014,"Lenovo 330-15IKBR 81DE00LBUS 15.6"" Notebook Laptop, Intel i5",12,"Check your email, browse the internet, and work on a host of other important tasks with this Lenovo Ideapad 330 15.6-inch laptop computer.",797,10,787.99,799.99,1
37392998752,"Lenovo® ThinkPad T540P 15.6"" Laptop, Intel Core i5-4300M 2.6GHz, 8GB, 256GB SSD, DVD, Win 10 Pro 64bit, Refurbished",12,"When it comes to your family’s needs, the Refurbished Lenovo T540P has got everyone covered. Built with power and speed to tackle those to do lists Lenovo T540P is a state of the art computer that offers top quality components to assure quality while performing both personal and business applications",797,10,615.99,699.99,0
42528253672,"Lenovo Laptop, X1 Carbon Core i5-3427U 1.8GHz, 4GB Ram, 128SSD, NO_ODD, 14, Windows 10 Professional 64bit, CAM, Refurbished",12,"Premium, performance, and productivity everywhere in a PC that is both sylish and entertaining.",797,10,799.99,799.99,2
36250247646,"Acer Aspire 3 A315-41-R3RF 15.6"" Notebook Laptop, AMD Ryzen 3",13,Meet important deadlines away from the office by completing projects on this 15.6-inch Acer Aspire 3 laptop.,797,10,299.99,299.99,4
40736633585,"Dell Inspiron Desktop Computer 8th Gen i5+8400, 1TB with 16GB Optane, 8GB ddr4,Win 10,Intel® UHD Graphics 630",11,"The Dell™ Inspiron Desktop 3670 in black, runs on Intel i5+8400 up to 4.0 GHZ GHz processor with 9MB cache memory for efficient multi-tasking. Featuring 8GB DDR4 (2666 mhz) and 16GB Optane Memory with a 1TB sata 7200 RPM hard drive.",797,10,699.99,699.99,3
33892834858,"Dell Desktop Computer 790 Optiplex Intel Core I5,16GB, 2TB HDD, Windows 10 Pro, Dual 19"" LCD, Keyboard, Mouse, Wifi, Refurbished",11,The game-changing Dell Optiplex 790 offers the performance and reliability you need on a budget you can afford.,797,10,349.99,399.99,2
88260551307,"HP 22-c0016 3LA83AA#ABA All-in-One Desktop Computer, Intel Pentium",0,Complete challenging projects in record time with this HP 21.5-inch all-in-one desktop PC.,433,10,349.99,449.99,1
20865762885,Paper MultiPurpose,13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,63.99,10
36398211163,"Paper 8"" by 11"" Green",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,42.99,60.99,5
87786085923,"Paper 8"" by 12"" Purple",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,20.99,29.99,4
24299619451,"Paper 8"" by 13"" Blue",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,29.99,29.99,3
10495040618,"Paper 8"" by 11"" Purple",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,62.99,62.99,1
94785868189,"Paper 8"" by 12"" Blue",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,37.99,7
21600185848,"Paper 8"" by 13"" Green",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,63.99,8
67880406739,"Paper 8"" by 11"" Blue",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,42.99,60.99,4
96952259901,"Paper 8"" by 12"" Green",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,20.99,29.99,3
92348534060,"Paper 8"" by 13"" Purple",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,29.99,29.99,6
29845963615,"Staples Paper 8"" by 11"" Green",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,62.99,62.99,2
41343783415,"Staples Paper 8"" by 12"" Purple",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,37.99,6
55784586905,"Staples Paper 8"" by 13"" Blue",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,63.99,7
56751389126,"Staples Paper 8"" by 11"" Purple",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,42.99,60.99,2
28036723200,"Staples Paper 8"" by 12"" Blue",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,20.99,29.99,10
62236126125,"Staples Paper 8"" by 13"" Green",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,29.99,29.99,5
64782492145,"Staples Paper 8"" by 11"" Blue",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,62.99,62.99,4
21711599088,"Staples Paper 8"" by 12"" Green",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,37.99,3
19146647971,"Staples Paper 8"" by 13"" Purple",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,63.99,1
55101684452,"International Paper 8"" by 11"" Green",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,42.99,60.99,7
7252632374,"International Paper 8"" by 12"" Purple",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,20.99,29.99,8
2311242407,"International Paper 8"" by 13"" Blue",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,29.99,29.99,4
41956451778,"International Paper 8"" by 11"" Purple",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,62.99,62.99,3
14954756119,"International Paper 8"" by 12"" Blue",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,433,6,37.99,37.99,6
60206373004,"International Paper 8"" by 13"" Green",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,63.99,2
78739390445,"International Paper 8"" by 11"" Blue",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,42.99,60.99,6
27914149094,"International Paper 8"" by 12"" Green",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,20.99,29.99,7
20116990654,"International Paper 8"" by 13"" Purple",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,29.99,29.99,2
59272271563,"International Paper 8"" by 11"" White",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,62.99,62.99,10
97978537820,"International Paper 8"" by 12"" White",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,37.99,5
56801163068,"International Paper 8"" by 13"" White",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,63.99,4
71814360144,"International Paper 8"" by 11"" Off-White",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,42.99,60.99,3
98771851231,"International Paper 8"" by 12"" Off-White",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,20.99,29.99,1
90202831453,"International Paper 8"" by 13"" Off-White",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,29.99,29.99,7
89430261490,"Staples Paper 8"" by 11"" White",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,62.99,62.99,8
15244555262,"Staples Paper 8"" by 12"" White",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,37.99,4
44471345745,"Staples Paper 8"" by 13"" White",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,63.99,3
73009951079,"Staples Paper 8"" by 11"" Off-White",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,42.99,60.99,6
3860115811,"Staples Paper 8"" by 12"" Off-White",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,20.99,29.99,2
401337284,"Staples Paper 8"" by 13"" Off-White",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,29.99,29.99,6
56179941865,"Paper 8"" by 11"" White",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,62.99,62.99,7
30014224053,"Paper 8"" by 12"" White",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,37.99,2
92975783014,"Paper 8"" by 13"" White",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,63.99,10
22231172222,"Paper 8"" by 11"" Off-White",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,42.99,60.99,5
44932343969,"Paper 8"" by 12"" Off-White",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,20.99,29.99,4
74935570804,"Paper 8"" by 13"" Off-White",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,29.99,29.99,3
60000287513,"Paper 8"" by 11"" Mauve",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,62.99,62.99,1
78351396728,"Paper 8"" by 12"" Mauve",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,37.99,7
68994436216,"Paper 8"" by 13"" Mauve",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,63.99,8
13294271266,"Paper 8"" by 11"" Beige",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,42.99,60.99,4
30529066540,"Paper 8"" by 12"" Beige",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,20.99,29.99,3
27382502634,"Paper 8"" by 13"" Beige",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,29.99,29.99,6
98931526524,"Staples Paper 8"" by 11"" Mauve",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,62.99,62.99,2
60588169344,"Staples Paper 8"" by 12"" Mauve",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,37.99,6
70747384948,"Staples Paper 8"" by 13"" Mauve",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,63.99,7
24244938996,"Staples Paper 8"" by 11"" Beige",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,42.99,60.99,2
2727630714,"Staples Paper 8"" by 12"" Beige",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,20.99,29.99,10
78027611348,"Staples Paper 8"" by 13"" Beige",11,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,29.99,29.99,5
36339284296,"International Paper 8"" by 11"" Mauve",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,62.99,62.99,4
4426205726,"International Paper 8"" by 12"" Mauve",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,797,6,37.99,37.99,3
16869495930,"International Paper 8"" by 13"" Mauve",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,280,6,37.99,63.99,1
422206612,"International Paper 8"" by 11"" Beige",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,280,6,42.99,60.99,7
42293654368,"International Paper 8"" by 12"" Beige",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,280,6,20.99,29.99,8
50222690553,"International Paper 8"" by 13"" Beige",12,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,280,6,29.99,29.99,4
17895875772,"Paper 8"" by 11"" Almond",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,280,6,62.99,62.99,3
83031116134,"Paper 8"" by 12"" Almond",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,280,6,37.99,37.99,6
98261031629,"Paper 8"" by 13"" Almond",13,Keep a carton of this Staples 8.5 x 11-inch multipurpose paper in your supply closet for everyday printing needs.,280,6,37.99,63.99,2
