Store_ID,Address,City,State,Zip,Phone_Number,Hours_ID
71,110 Jefferson Road,Rochester,NY,14623,585-424-1901,0
797,1370 West Ridge Road,Rochester,NY,14615,585-865-8340,2
1864,1601 Old Penfield Road,Rochester,NY,14625,585-248-5560,2
1075,7560 Commons Blvd,Victor,NY,14564,585-425-8130,1
280,2 Plaza Drive,Auburn,NY,13021,315-258-9557,0
433,1440 Central Ave,Albany,NY,12205,518-435-9920,2
1602,24-41 31st Street,Astoria,NY,11102,718-932-0315,1
106,209-34 Northern Blvd,Bayside,NY,11361,718-229-0138,2
1703,251-21 Jericho Turnpike,Bellerose,NY,11426,718-831-1289,0
1916,2044 Montauk Highway,Bridgehampton,NY,11932,631-537-1654,2
1667,2040 White Plains Road,Bronx,NY,10462,718-409-9260,2
